Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
91.91172393,0,0,0.952879516,0.006890994,3.247369345,5.52E-07,0.000199061,0.000348101,0.004506646,0.002353269,3.82972924,515.5751848,608.4355938,-17.70567687
91.91172393,0,0,0.958283813,0.006890994,3.250296165,5.52E-07,0.009315933,0.000296756,0.004325371,0.002379845,3.82972924,515.8733069,610.5553899,-17.27665093
91.92095112,0,2.66E-08,0.783078352,0.001962417,3.417650307,9.14E-07,0,8.96E-05,0.005587581,0.002745715,3.829729214,98.92075164,174.9118663,374.9050822
91.99683786,0,0.001075103,1.076978959,0.001607312,3.601424963,6.69E-07,0,6.02E-05,0.000165376,0.003328257,3.82972924,518.4796966,606.0354778,-16.49758168
92.2035474,0,0,0.932000796,0.00210667,3.405859992,0.000132696,0,3.20E-05,0.005387363,0.003135007,3.829714528,111.4118936,205.8226266,373.9038625
93.49107172,0,0,1.163756314,0.011202512,0.915890969,0,0,0.000102911,0.007116216,0.002244416,3.49578815,11722.12488,11779.40404,-1332.878448
94.22902713,0,0,0.932256854,0.001360821,3.186695952,0.022002491,0,1.10E-05,0.000439798,0.003134969,3.799898611,95.67928309,190.0900161,389.636473
94.36210958,0,0,1.163756314,0.011202512,0.915890969,0,0,0.000102911,0.007116216,0.002881076,3.49578815,11722.99814,11780.27731,-1333.751716
89.87091745,0,0,0.937164835,0.00010122,3.530534801,8.95E-06,0.005526708,0.000463539,0.00263168,0.002724473,3.829729238,107.2694105,199.7862751,381.5274963
89.97163547,0,2.42E-07,0.709664401,1.73E-05,3.399480284,9.89E-05,0,1.94E-06,0.003728967,0.005741769,3.829729219,108.1333473,185.4722474,382.9486733
89.98384997,0,0,1.009630385,6.57E-05,3.138723125,1.28E-05,0.000212301,0.000473555,0.001017316,0.002727798,3.829729232,100.217008,192.7338726,388.5798989
90.0320187,0,1.91E-07,0.951061183,0.000995456,3.472528896,2.27E-05,5.54E-05,2.46E-06,0.004835238,0.002616941,3.82972924,112.1900882,189.5289883,378.8919323
90.82171862,0,1.14E-07,0.933081396,0,3.378956677,1.23E-05,0.005247551,0.000186307,0.004546864,0.002728237,3.829729238,113.4422898,205.9591544,375.3546171
90.82289281,0,1.12E-07,1.010125035,6.57E-05,3.137556713,0.007616437,0.000308275,0.000490309,0.004538436,0.002712858,3.829729232,107.427733,199.9445976,381.3691739
90.85054048,0,1.10E-07,0.924170374,0.000192148,3.439478965,2.70E-05,0.002016881,0.000227763,0.001867815,0.00260898,3.828746652,112.9837087,205.5005733,375.8131982
90.8989102,0,1.09E-07,0.939628539,6.42E-05,3.378212765,1.28E-05,0.000289008,1.95E-05,0.001970418,0.002998232,3.829729214,112.4843099,205.0011745,376.312597
90.98708272,0,1.91E-07,0.951061183,0.000995456,3.472432082,2.28E-05,5.54E-05,2.46E-06,0.004892076,0.002616884,3.82972924,115.9175022,193.2564023,375.1645184
91.26199133,0,5.99E-11,1.055385107,0.000196002,3.443476452,0.000125195,0.000394699,0.000222377,0.004769366,0.012662836,3.829728975,99.86964944,192.386514,388.9272574
91.27497909,0,1.40E-08,0.993062343,0.005222717,3.380213851,6.11E-06,0.000438796,0.000486302,0.001106003,0.006984236,3.829716675,111.0846075,203.6014721,377.7122994
91.40782943,0,1.91E-07,0.801943392,0.000652597,3.473607089,2.32E-05,5.54E-05,2.47E-06,0.002944099,0.00066779,3.829729219,114.4347435,191.7736436,376.647277
91.4105858,0,2.38E-07,0.936631661,0.001095064,3.397890739,2.61E-05,0.005657848,2.38E-06,0.00548543,0.002614098,3.82972067,117.23471,194.57361,373.8473106
91.60827922,0,0.005416176,0.766656956,0.004667086,1.081976456,0.015377143,0.001294741,8.21E-08,0.00188879,0.012544732,3.78310787,7962.693669,7996.330173,-899.5984423
91.6858613,0,0.068260734,1.085451113,0,0.86128702,0.001080757,1.31E-08,9.89E-08,0.005935474,0.002936053,3.82910732,1469.811719,1464.896427,-154.1965389
